VmPeak,VmSize,VmHWM,VmRSS,VmPTE,VmSwap,Threads,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Unevictable,SwapFree,Dirty,Writeback,AnonPages,Mapped,Shmem,Slab,KernelStack,PageTables,Committed_AS
2394284,2394268,92200,92120,472,0,15,172204,673968,25120,594820,10380,440104,1168996,0,1636104,1084,0,985036,303580,22196,132232,12328,22696,5492240
2394284,2394268,92200,92120,472,0,15,172280,674072,25120,595388,10380,440108,1170260,0,1636104,1088,0,985652,304344,22784,132232,12320,22668,5493648
2394284,2394268,92200,92120,472,0,15,172056,673780,25120,595480,10380,440100,1172172,0,1636104,1084,0,987592,304532,22896,132232,12320,22668,5495004
2394284,2394268,92200,92120,472,0,15,171832,673604,25152,595496,10380,440104,1171408,0,1636104,1088,0,986772,304280,22896,132232,12336,22668,5496184
2394284,2394268,92200,92120,472,0,15,171356,673156,25152,594936,10380,440132,1181584,0,1636104,1096,0,997588,303692,22224,132232,12304,22752,5496908
2394284,2394268,92200,92120,472,0,15,170908,672712,25152,594856,10380,440140,1182196,0,1636104,1100,0,998168,303692,22224,132232,12328,22680,5498448
2394284,2394268,92200,92120,472,0,15,170684,672440,25152,594808,10380,440136,1183032,0,1636104,1096,0,999056,303692,22224,132236,12328,22676,5498492
2394284,2394268,92200,92120,472,0,15,170684,672444,25152,594812,10380,440136,1183948,0,1636104,1100,0,1000060,303776,22224,132212,12312,22676,5498452
2394284,2394268,92200,92120,472,0,15,170180,671952,25160,594144,10380,440144,1182488,0,1636104,1100,0,999084,303024,21552,132212,12312,22680,5499536
2394284,2394268,92200,92120,472,0,15,169172,670952,25160,594792,10380,440144,1184608,0,1636104,1116,0,1000492,303664,22192,132180,12304,22688,5500292
2394284,2394268,92200,92120,472,0,15,168192,669976,25160,594784,10380,440144,1185664,0,1636104,1124,0,1001652,303732,22180,132180,12304,22684,5501236
2394284,2394268,92200,92120,472,0,15,166964,668796,25160,594876,10380,440152,1182600,0,1636104,1132,0,998548,303636,22224,132180,12288,22680,5500972
