Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Cluster
"-5,662837267","-5,340877364","2,0621646273","-0,029120268","-0,073526199","0,188419593",1
"-5,667412239","-5,352048431","2,2057676342","-0,125988327","-0,175446465","0,2377806917",1
"-5,573071395","-5,318429313","2,1920562346","-0,126541128","-0,153858546","0,2505396949",1
"-5,771727798","-5,007775442","1,5388333034","-0,247146178","-0,902247535","0,0736989601",1
"1,5840776216","-5,477771545","3,5263578629","0,0820521564","2,2716383755","0,9213472945",2
"0,2669839165","-5,860965887","4,2341601464","0,4747673034","2,617600343","0,5854988663",2
"-4,618868972","-6,328331705","3,7320117958","1,47659957","2,6956964798","-0,415501598",2
"-4,554848738","-6,387411633","4,2726100146","0,7480339881","2,0195286268","0,0509941877",2
"-4,381617686","-6,446358383","4,4783531025","0,6686567735","1,8910075657","0,0602690749",2
"-4,201247925","-6,542493941","3,8379593571","1,4958533785","2,6756461466","-0,462568296",2
"-3,943457722","-6,744915621","4,2312756945","1,4993154644","2,6226336229","-0,543281882",2
"-3,930858776","-6,648863492","3,9273015519","1,6457631921","2,7221481122","-0,640391921",2
"-3,64275665","-6,776024684","4,8860894862","0,9188305556","1,7914286249","-0,357671494",2
"-3,48468089","-6,774815351","5,0626604227","0,8343126267","1,6850193847","-0,330778426",2
"-3,445465179","-6,814066431","5,1129881888","0,8485118991","1,6071834216","-0,39700657",2
"-3,531637019","-6,8915641","4,7508094277","0,9197864203","1,7585993309","-0,367578162",2
"-2,860553205","-6,8906321","5,0904541313","0,9723428482","1,9788035899","-0,33975313",2
"-2,599289128","-7,0605031","4,9419552497","1,0021476089","1,9894703576","-0,370121815",2
"-2,272084581","-6,893096194","4,9428888362","0,6340092865","2,2468170798","0,245909254",2
"-2,3074943","-6,820314142","5,0905742108","0,6582883465","2,0030573099","0,0906181394",2
"-2,206944972","-6,820572441","5,2551195743","0,5891002812","1,8351277558","0,0709567458",2
"-2,181457099","-6,836230116","5,2185914793","0,6934018954","1,9348101856","-0,002627322",2
"-2,049557054","-6,838547025","5,0404625172","0,7183713819","1,9344227408","-0,004775104",2
"-1,893252005","-6,880453687","4,7427302239","0,7285227225","2,0119433877","0,0629803984",2
"-1,794328048","-6,930845109","4,7654273534","0,7385959959","2,0475361361","0,0675937414",2
"-1,996494499","-6,864823707","4,6112001065","0,8506969821","2,1898266367","0,02295404",2
"-2,042503047","-6,864757251","4,7257893833","0,7460573264","2,0991927832","0,0928585406",2
"-1,804555443","-6,994740281","4,4049542439","1,1779697673","2,6538404947","-0,116054444",2
"-1,809745144","-7,00243092","4,4947007677","1,0714918627","2,4684237555","-0,092559817",2
"-1,822446238","-6,967663199","4,5717564105","0,9643844676","2,3627930326","-0,024676574",2
"-1,696276378","-7,063739587","4,7899920381","0,9000831487","2,283473486","-0,012047427",2
"-1,651863078","-7,092072507","4,7190235661","1,0166994171","2,4106378947","-0,080655931",2
"-1,642770352","-7,079616212","4,8089200942","0,9252694669","2,2902562308","-0,041739737",2
"-1,522894108","-7,092621886","4,8644355724","0,9188574928","2,3146997124","-0,029409975",2
"-1,525072815","-7,135488749","5,0439637538","0,8296507239","2,133499453","-0,0371231",2
"-1,619543991","-7,184918506","4,8008659311","0,9372557758","2,3011834265","-0,047537601",2
"-1,359021573","-7,116323891","5,0079325072","0,7013568086","1,9246845262","0,0327943405",2
"-1,619031032","-7,075714774","5,0379184987","0,8658894919","2,1240813425","0,0449736574",2
"-1,521493509","-7,712222418","4,9743496451","2,1377820941","4,0108431495","-0,630166626",2
"0,8498276111","-7,750780151","5,1547703819","2,6523076412","5,7413685509","-0,43281027",2
"1,5441537267","-8,025817456","5,8120950254","2,9064016592","6,693441627","-0,249780175",2
"-0,887568694","-8,116300298","5,9600462592","2,849222343","5,9808788889","-0,507892276",2
"-0,803406295","-8,096978826","6,1934547287","2,6886261862","5,7436852972","-0,465765237",2
"-0,337418381","-6,42355763","4,4748939424","2,5266232226","4,8942967716","-0,953327618",2
"-0,220548056","-6,575273902","4,6079080343","2,5619779324","4,9055432554","-1,009435801",2
"2,381822817","-6,737718119","5,0691493321","2,5865067828","6,0074806899","-0,570121066",2
"-1,160576048","-3,78346983","1,1014245994","1,4164989407","3,5710303542","0,1045555134",2
"-4,046458123","-3,887625254","0,5792799483","1,5288619839","3,2981471007","0,383753277",2
"-4,014363156","-3,724316059","-0,00691747","1,9112509774","3,6934940858","-0,243615044",2
"-4,083805221","-3,840646655","-0,247000346","2,1520798157","3,880715526","-0,411556821",2
"-4,023197769","-3,672080454","-0,37504573","2,1024745564","3,6602939871","-0,45003384",2
"-4,057923545","-3,823090527","-0,182283683","2,1741111429","3,8001635315","-0,4806001",2
"-4,066326064","-3,899075129","-0,250228465","2,0717734058","3,8503583461","-0,154868259",2
"-4,199008262","-3,839016984","-0,327306618","1,9803774106","3,937442914","-0,177556644",2
"-4,172147915","-3,768744809","-0,384409955","1,9727478864","3,86341725","-0,198847711",2
"-4,210688359","-3,64092477","-0,466039576","1,9475576041","3,8741170132","-0,153735463",2
