r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
1,0,250432,63524,17064,431084,0,0,0,0,2602,548,2,46,51,0,0
1,0,250432,63524,17072,431076,0,0,0,28,2204,518,5,41,52,2,0
1,0,250432,63524,17072,431088,0,0,0,0,3187,578,4,57,39,0,0
2,0,250432,63524,17072,431092,0,0,0,0,4432,658,6,62,32,0,0
0,0,250432,63524,17072,431096,0,0,0,0,3105,592,4,54,42,0,0
1,0,250432,63524,17072,431096,0,0,0,0,2666,483,3,41,56,0,0
3,0,250432,63524,17080,431108,0,0,0,16,3686,628,4,66,30,0,0
1,0,250432,63524,17080,431108,0,0,0,0,2923,577,4,46,49,0,0
1,0,250432,63524,17080,431116,0,0,0,0,2825,521,2,43,54,0,0
4,0,250432,63524,17080,431116,0,0,0,20,3720,573,0,54,46,0,0
1,0,250432,63524,17080,431120,0,0,0,0,3344,601,2,61,37,0,0
0,0,250432,63524,17088,431124,0,0,0,28,3410,609,4,54,42,0,0
0,0,250432,63524,17088,431124,0,0,0,0,2608,520,3,49,49,0,0
1,0,250432,63524,17088,431132,0,0,0,0,2858,568,3,51,45,0,0
0,0,250432,63524,17088,431136,0,0,0,0,3933,540,0,59,41,0,0
0,0,250432,63524,17088,431136,0,0,0,0,3548,565,2,52,46,0,0
0,0,250432,63272,17096,431140,0,0,0,16,3191,551,3,46,50,1,0
4,0,250432,63272,17096,431144,0,0,0,0,3265,591,2,55,43,0,0
0,0,250432,63272,17096,431152,0,0,0,0,3003,558,5,49,46,0,0
2,0,250432,63272,17096,431152,0,0,0,120,3021,584,2,45,53,0,0
0,0,250432,63272,17096,431156,0,0,0,0,3032,550,5,53,42,0,0
4,0,250432,63272,17104,431148,0,0,0,28,2031,537,4,42,53,0,0
1,0,250432,63272,17104,431164,0,0,0,0,3811,580,5,50,45,0,0
1,0,250432,63272,17104,431164,0,0,0,0,3299,608,8,50,42,0,0
1,0,250432,63272,17104,431168,0,0,0,100,2982,524,3,50,47,0,0
2,0,250432,63272,17104,431172,0,0,0,0,2089,1227,3,36,60,0,0
1,0,250432,63272,17112,431176,0,0,0,28,3315,591,4,55,41,0,0
1,0,250432,63272,17112,431180,0,0,0,0,2803,633,3,49,48,0,0
0,0,250432,63272,17112,431180,0,0,0,0,3197,540,1,48,51,0,0
1,0,250432,63272,17112,431184,0,0,0,8,3229,617,4,56,40,0,0
0,0,250432,63272,17112,431188,0,0,0,0,3408,559,1,53,46,0,0
3,0,250432,63272,17120,431180,0,0,0,36,1865,477,2,37,61,0,0
0,0,250432,63272,17120,431196,0,0,0,0,3138,542,1,57,42,0,0
0,0,250432,63272,17120,431196,0,0,0,0,2897,613,5,61,35,0,0
1,0,250432,63272,17120,431200,0,0,0,0,3996,633,4,61,35,0,0
0,0,250432,63272,17120,431204,0,0,0,0,3996,588,4,55,42,0,0
0,0,250432,63272,17128,431208,0,0,0,16,3203,564,8,53,39,1,0
0,0,250432,63272,17128,431208,0,0,0,0,3212,581,4,49,48,0,0
0,0,250432,63272,17128,431212,0,0,0,0,3315,556,2,51,47,0,0
1,0,250432,63272,17128,431216,0,0,0,0,3229,559,5,51,44,0,0
0,0,250432,63020,17128,431396,0,0,74,0,2873,620,4,49,46,0,0
2,0,250432,63020,17136,431428,0,0,0,16,2827,560,2,44,51,3,0
1,0,250432,63020,17136,431428,0,0,0,0,3436,574,4,51,45,0,0
0,0,250432,63020,17136,431432,0,0,0,0,3643,539,4,49,47,0,0
0,0,250432,63020,17136,431436,0,0,0,0,3364,509,1,45,54,0,0
1,0,250432,63020,17136,431440,8,0,8,32,3283,632,4,63,32,1,0
1,0,250432,63020,17144,431440,0,0,0,16,2795,544,6,46,48,0,0
3,0,250432,63020,17144,431444,0,0,0,0,3780,589,2,63,35,0,0
0,0,250432,63020,17144,431448,0,0,0,0,3116,525,1,50,49,0,0
0,0,250432,63020,17144,431452,0,0,0,0,3560,563,5,51,44,0,0
0,0,250432,63020,17144,431456,0,0,0,0,3133,577,2,48,49,0,0
0,0,250432,63020,17152,431456,0,0,0,16,3017,564,3,53,45,0,0
0,1,250432,62516,17152,431656,0,0,216,0,2885,632,3,38,54,4,0
5,0,250432,79400,17152,441528,0,0,9904,0,5218,960,5,88,1,5,0
2,0,250432,71312,17152,447260,0,0,5756,0,7100,852,0,88,11,1,0
1,0,250432,61288,17152,455004,0,0,7744,96,6910,905,3,89,8,1,0
11,0,250688,70540,17160,447536,0,240,4252,268,6723,947,4,92,4,1,0
3,0,250688,67696,17148,446116,0,28,5312,28,5712,738,0,89,10,1,0
0,0,250688,62912,17148,450612,0,0,4480,0,6322,827,5,81,12,1,0
4,1,250688,61044,17144,451872,0,12,3372,12,5917,763,3,91,7,0,0
0,0,251464,71464,17140,439668,0,700,624,804,775,275,0,12,74,13,0
0,0,251464,71464,17140,439668,0,0,0,0,93,143,0,0,100,0,0
0,0,251464,71464,17148,439668,0,0,0,24,87,147,0,1,85,14,0
0,0,251464,71464,17148,439668,0,0,0,0,86,133,0,0,100,0,0
0,0,251464,71464,17148,439668,0,0,0,0,89,150,0,0,100,0,0
0,0,251464,71464,17148,439668,0,0,0,0,78,143,0,0,100,0,0
0,0,251464,71464,17148,439668,0,0,0,0,92,149,0,0,100,0,0
0,0,251464,71464,17148,439668,0,0,0,0,67,122,0,0,100,0,0
0,0,251464,71464,17156,439672,0,0,0,12,80,144,0,1,93,6,0
0,0,251464,71464,17156,439672,0,0,0,0,75,135,0,0,100,0,0
3,0,251464,71464,17156,439676,0,0,0,0,4051,537,3,53,44,0,0
1,0,251464,71464,17156,439676,0,0,0,0,4498,618,3,71,26,0,0
2,0,251464,71464,17156,439676,0,0,0,0,5929,729,3,76,21,0,0
1,0,251464,71464,17156,439676,0,0,0,0,6294,786,1,87,11,0,0
1,0,251464,71464,17164,439676,0,0,0,16,6317,761,1,81,17,0,0
1,0,251464,71464,17164,439676,0,0,0,0,6021,699,1,84,14,0,0
1,0,251464,71464,17164,439680,0,0,0,0,6367,769,1,85,13,0,0
2,0,251464,71464,17164,439680,0,0,0,0,6007,733,1,85,14,0,0
2,0,251464,71464,17164,439680,0,0,0,0,6570,771,4,82,14,0,0
1,0,251464,71464,17172,439680,0,0,0,16,6033,698,1,87,11,0,0
2,0,251464,71464,17172,439680,0,0,0,20,6193,663,2,81,17,0,0
3,0,251464,71464,17180,439688,4,0,20,0,6100,837,18,75,8,0,0
5,0,251464,70096,17180,439688,0,0,0,0,6220,728,6,78,16,0,0
0,0,251464,70096,17180,439692,0,0,0,0,6008,727,13,82,5,0,0
1,0,251464,70096,17180,439692,0,0,0,0,6556,723,1,84,15,0,0
3,0,251464,70096,17188,439692,0,0,0,20,6351,615,0,82,18,0,0
1,0,251464,69424,17188,439692,0,0,0,16,6409,640,2,79,20,0,0
1,0,251464,69424,17188,439692,0,0,0,0,5039,564,2,81,17,0,0
4,0,251464,69424,17188,439692,0,0,0,0,5942,621,3,79,18,0,0
2,0,251464,69424,17188,439692,0,0,0,0,5902,635,0,85,15,0,0
1,0,251464,69424,17196,439692,0,0,0,28,6012,685,3,81,15,1,0
2,0,251464,69424,17196,439696,0,0,0,8,6065,661,0,83,17,0,0
1,0,251464,69424,17196,439712,0,0,16,0,5647,726,3,82,15,0,0
1,0,251464,69424,17196,439712,0,0,0,0,6154,661,3,81,16,0,0
2,0,251464,69424,17196,439712,0,0,0,0,6825,620,1,82,16,0,0
4,0,251464,69424,17204,439712,0,0,0,24,6474,598,5,75,20,0,0
2,0,251464,69424,17204,439712,0,0,0,0,6517,637,5,79,17,0,0
2,0,251464,69424,17204,439712,0,0,0,0,6063,568,0,83,17,0,0
1,0,251464,69424,17204,439712,0,0,0,0,5945,588,3,75,21,0,0
0,0,251464,69424,17204,439716,0,0,0,0,6323,666,0,83,17,0,0
1,0,251464,69424,17212,439716,0,0,0,16,6620,622,2,79,18,2,0
1,0,251464,69424,17212,439716,0,0,0,0,6418,598,4,76,19,0,0
2,0,251464,69424,17212,439716,0,0,0,0,6018,609,3,79,18,0,0
