r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
2,0,249264,64384,7996,428832,0,0,0,16,7697,786,2,86,11,0,0
5,0,249264,64384,7996,428832,0,0,0,0,7855,824,1,86,13,0,0
2,0,249264,64384,7996,428836,0,0,0,0,7482,766,3,84,14,0,0
1,0,249264,64384,7996,428840,0,0,0,92,7155,808,4,84,13,0,0
0,0,249264,64384,7996,428844,0,0,0,0,7994,758,5,82,13,0,0
2,0,249264,64384,8004,428848,0,0,0,28,8002,792,1,81,17,0,0
2,0,249264,64384,8004,428852,0,0,0,0,8008,771,4,82,14,0,0
4,0,249264,64384,8004,428852,0,0,0,0,7234,698,3,81,17,0,0
2,0,249264,64384,8004,428856,0,0,0,12,7337,676,3,78,19,0,0
2,0,249264,64132,8004,428860,0,0,0,0,7887,732,6,83,11,0,0
2,0,249264,64132,8012,428868,0,0,0,16,6533,644,4,67,29,0,0
0,0,249264,64132,8012,428872,0,0,0,0,7804,661,3,79,18,0,0
0,0,249264,64132,8012,428872,0,0,0,0,6795,643,1,71,28,0,0
3,0,249264,64132,8012,428876,0,0,0,0,7225,720,3,81,17,0,0
1,0,249264,64132,8012,428880,0,0,0,0,7239,680,4,79,17,0,0
4,0,249264,64132,8020,428880,0,0,0,16,6873,670,4,76,20,0,0
2,0,249264,64132,8020,428884,0,0,0,0,6905,732,3,83,15,0,0
0,0,252864,74384,7844,415812,4,3752,4,3752,6838,775,10,83,7,0,0
3,0,252864,68560,7844,415692,0,0,0,56,7116,754,2,92,6,0,0
6,0,252864,75944,7844,415664,0,0,0,0,7299,715,3,87,10,0,0
1,0,252864,73928,7852,415656,0,0,0,32,7802,713,3,85,13,0,0
4,0,252864,73972,7852,415668,0,0,0,0,7637,781,4,84,12,0,0
5,0,252864,73972,7852,415672,0,0,0,0,7266,720,4,84,12,0,0
4,0,252864,73972,7852,415672,0,0,0,0,8054,731,3,84,14,0,0
1,0,252864,73972,7852,415676,0,0,0,0,7372,720,1,86,13,0,0
1,0,252864,73972,7860,415680,0,0,0,16,7764,761,3,85,13,0,0
1,0,252864,73972,7860,415680,0,0,0,0,7893,777,4,80,16,0,0
1,0,252864,73972,7876,415684,0,0,0,40,6400,688,2,70,27,1,0
0,0,252864,73972,7876,415688,0,0,0,0,7538,712,4,78,18,0,0
4,0,252864,73972,7876,415692,0,0,0,0,7375,818,5,84,11,0,0
2,0,252864,73972,7876,415696,0,0,0,0,8060,710,1,83,16,0,0
1,0,252864,73972,7876,415696,0,0,0,0,7333,706,0,84,16,0,0
1,0,252864,73972,7876,415700,0,0,0,0,8059,773,2,85,12,0,0
1,0,252864,73972,7884,415704,0,0,0,16,7743,814,2,91,7,0,0
4,0,252864,73972,7884,415708,0,0,0,0,7711,669,5,78,17,0,0
2,0,252864,73972,7884,415708,0,0,0,0,6169,625,2,68,29,0,0
1,0,252864,73972,7884,415712,0,0,0,0,8213,755,1,85,14,0,0
2,0,252864,73972,7888,415712,0,0,0,12,7975,749,1,88,11,0,0
4,0,252864,73972,7892,415720,0,0,0,4,8248,786,1,86,11,1,0
0,0,252864,73972,7892,415720,0,0,0,0,7562,732,4,84,12,0,0
