r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8
2,0,249768,65756,10764,419676,0,0,0,0,5462,603,1,51,48,0,"-0,199368641","-1,255378173","0,7425606435","-0,833455546","-0,085926756","-0,663357924","-0,95652259","-0,553344321"
0,0,249768,65756,10764,419680,0,0,0,204,4525,578,4,57,40,0,"-0,180484891","-1,203524961","0,7983021063","-1,502304143","0,3502989123","0,3253321659","-0,649281126","0,0562171347"
2,0,249768,65756,10764,419752,0,0,68,0,3799,581,5,45,51,0,"-0,360411592","-1,160222047","1,0213459369","-1,342179802","-0,063162833","0,825448204","-0,30971668","-0,661536193"
0,0,249768,65756,10764,419752,0,0,0,0,669,357,0,7,93,0,"-3,049766189","-1,018453424","1,6782796019","-1,433877438","-0,687535809","-0,955232149","-0,889269538","-0,21975949"
1,0,249768,65756,10772,419760,0,0,0,48,4401,582,4,50,45,1,"-0,282439275","-1,230294559","1,0482029703","-1,226636292","0,1998867087","0,4227303973","-0,589824694","-0,28832834"
1,0,249768,65756,10772,419764,0,0,0,0,3843,546,2,51,47,0,"-0,60877225","-1,257887899","0,8877013989","-1,073839528","-0,029165304","-0,302466577","-0,811820425","-0,298647763"
0,0,249768,65756,10772,419768,0,0,0,192,4660,562,5,34,61,0,"-0,76907688","-1,177753451","1,1022197101","-1,788207211","0,1719392603","0,7280208621","-0,42519427","-0,028243824"
0,0,249768,65756,10772,419772,0,0,0,0,7354,695,1,60,39,0,"0,3039060981","-1,588778922","0,4921681146","-0,873290346","0,3995616055","-0,706979217","-1,122135905","0,121155536"
2,0,249768,65756,10772,419772,0,0,0,0,5081,543,2,38,60,0,"-0,688324845","-1,207256773","0,9603422425","-1,065891667","-0,220400262","-0,299334893","-0,773588318","-0,602769564"
0,0,249768,65756,10780,419776,0,0,0,24,3946,524,1,36,62,1,"-1,248019594","-1,261313697","1,2293910984","-1,120137125","-0,014807296","-0,652400988","-0,991001317","-0,030758253"
0,0,249768,65756,10780,419780,0,0,0,0,9079,752,1,73,26,0,"1,0593961324","-1,732463319","0,1934989936","-0,711646364","0,6452215879","-0,752637539","-1,232378129","0,2167039686"
1,0,249768,65756,10780,419784,0,0,0,0,4017,505,2,42,55,0,"-0,923085942","-1,247530593","0,9903577848","-1,147797198","-0,123913483","-0,311663382","-0,806915031","-0,313736685"
0,0,249768,65756,10780,419868,0,0,80,0,773,458,4,13,75,8,"-2,147953594","-0,863709713","2,9429372597","-1,035757533","0,264898747","0,624108876","-0,650697184","-0,179459209"
0,0,249768,65756,10780,419868,0,0,0,0,2705,467,1,29,70,0,"-1,786935933","-1,216661928","1,25619099","-1,287062374","-0,271605069","-0,64027886","-0,879706152","-0,094552942"
3,0,249768,65756,10788,419872,0,0,0,28,6960,759,1,74,25,0,"1,1787789197","-1,293790019","0,3344855036","-0,529618356","0,1511265273","-0,669820197","-0,984441506","-0,739348949"
0,0,249768,65756,10788,419876,0,0,0,0,5322,562,2,43,55,0,"-0,707971909","-1,42790119","0,8910216813","-1,193044178","0,1002879772","-0,330194257","-0,881337192","0,0189956315"
0,0,247976,65756,10788,419880,1988,0,1988,0,3770,930,2,46,32,20,"0,8496995421","-0,832271913","9,6667966983","2,8451159977","11,375124297","-4,622523276","8,7589867415","0,0884507173"
0,0,247976,65756,10788,419884,0,0,0,0,1371,393,2,21,76,0,"-2,237830131","-1,193252392","1,537017406","-1,559387315","-0,423842206","-0,281320926","-0,709916162","-0,204660002"
2,0,247976,65756,10788,419884,0,0,0,0,7723,675,0,64,36,0,"0,6472722308","-1,498703931","0,4585661016","-0,616635367","0,108541007","-1,094968393","-1,230145951","-0,47731425"
0,0,247976,65084,10796,419888,0,0,0,16,8716,837,3,69,24,3,"1,4085487927","-1,73665109","0,8626445566","-0,76678919","0,9406461142","0,0324481939","-1,032763535","0,1665162575"
8,0,247976,65084,10796,428500,0,0,8564,0,5399,766,3,57,25,14,"2,4492888215","0,6904529116","4,3067090045","1,7956688762","-1,038639144","-0,078659548","-0,467958316","-2,968255733"
3,0,247976,63068,10796,439340,0,0,10880,104,6298,1017,3,87,5,5,"3,7479231349","0,1708047476","2,9174965518","1,0178353546","-1,793845024","-0,56864207","0,4191946198","-1,158606344"
3,0,249008,70632,9912,436296,0,856,5700,856,7177,969,1,93,6,0,"3,3690940863","1,7091871351","0,6529720044","-0,945445778","-0,971553513","-1,527743903","0,2466881931","-0,541645183"
2,0,249008,70632,9912,436296,0,0,0,0,5519,702,1,62,36,0,"0,5106281332","-0,828767034","0,3048602048","-0,2646303","-1,121240446","-0,798498894","0,5218029666","0,1078958854"
1,0,249008,70632,9920,436300,0,0,0,28,7996,863,5,82,13,0,"2,0007106699","-1,137201404","-0,074936498","-0,547708983","-0,387085334","0,6036216879","0,900723126","0,5025548912"
2,0,249008,70632,9920,436300,0,0,0,0,6900,752,0,75,25,0,"1,1082443268","-0,941343864","0,0232407677","-0,014173292","-0,952521889","-1,199436792","0,2906699732","0,1974639833"
3,0,249008,70632,9920,436308,0,0,0,8,7834,794,5,81,14,0,"2,0258874921","-0,955469757","-0,057842759","-0,370888354","-0,703124511","0,5977734503","0,9669611744","-0,084988808"
2,0,249008,70632,9920,436308,0,0,0,0,7984,808,3,86,11,0,"1,9437735299","-1,063701044","-0,160118918","-0,194882073","-0,611046097","-0,139585048","0,6292319887","0,2445244127"
3,0,249008,70408,9920,436312,0,0,0,0,8109,818,4,83,14,0,"2,094164238","-0,989490398","-0,108360268","-0,241756431","-0,718393316","0,2341837178","0,8220664465","-0,06192922"
2,0,249008,70408,9928,436304,0,0,0,24,7652,796,4,81,13,1,"1,8536927833","-1,001906677","0,1088613897","-0,284781885","-0,545856069","0,2319549394","0,7453863608","0,2345011085"
2,0,249008,70408,9928,436320,0,0,0,0,6524,758,2,75,23,0,"1,2332823192","-0,949429482","0,0898019133","-0,237249618","-0,876593078","-0,470707061","0,5820139548","0,1798788707"
