r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8
3,0,250432,65592,16832,432816,0,0,0,0,7182,683,3,82,15,0,"1,2333205744","-0,878754993","-0,309903719","-0,52194694","-0,328631806","0,2385364006","0,0393181273","-0,039097825"
1,0,250432,65592,16840,432808,8,0,8,16,7418,728,3,86,11,0,"1,316846217","-0,832256121","-0,122307971","-0,535507963","-0,87345472","0,1931712848","0,1718646572","0,1319659915"
2,0,250432,65592,16840,432820,0,0,0,0,7390,705,4,81,15,0,"1,2357295457","-0,879795194","-0,345434908","-0,551732058","-0,344269562","0,2491771435","0,0154031066","0,0528031046"
1,0,250432,65592,16840,432928,0,0,112,0,7650,947,4,89,7,0,"1,9522001132","-0,915146776","-0,151207797","-0,463574561","-0,74201897","0,1301370425","0,0682961091","0,0795771478"
1,0,250432,65592,16840,433168,8,0,244,0,7704,739,0,86,13,1,"1,1757404436","-0,883529828","0,0961260745","-0,254785208","-1,530560042","0,006302726","0,2644139848","-0,155456191"
1,0,250432,65592,16840,433168,0,0,0,0,7797,729,1,84,14,0,"1,1207266694","-1,031822555","0,00487558","-0,457159018","-1,215051078","-0,02144245","0,2750181741","-0,108273626"
1,0,250432,65592,16852,433168,0,0,0,88,7342,740,4,80,14,1,"1,2461797357","-0,32297229","0,1457193718","-0,933036903","-0,645552615","0,2011742291","0,1092617755","0,1630451355"
1,0,250432,65592,16852,433172,0,0,0,0,7786,656,3,80,17,0,"0,9597349585","-0,962526716","-0,215402751","-0,523538379","-0,733377485","0,1110932881","0,1318878117","0,0088222202"
6,0,250432,79536,16984,442884,16,0,9952,56,4433,869,2,74,2,21,"2,5915868834","3,0078829404","2,586633324","4,9552052007","0,0050642264","1,0577060465","-2,982553589","-4,171601903"
1,0,250432,63720,16984,449880,0,0,6976,0,7175,943,5,89,5,1,"2,6906011377","1,1685427749","0,365094228","2,3150479587","-0,251056265","-2,48119605","-1,551347558","-2,395061763"
3,0,250432,62460,16984,451132,0,0,1248,0,6956,843,1,88,11,0,"1,6435931043","0,182711148","-0,151864416","0,6626721723","-0,466440594","-2,377329649","-0,085434315","-0,118375789"
3,0,250432,62208,16992,451132,0,0,0,36,7226,899,1,88,11,0,"1,6767407165","0,1683169893","-0,099844767","0,1059951862","-0,508866272","-2,299249677","0,2378603265","0,4722611908"
2,0,250432,61760,16992,451132,0,0,0,0,7132,885,4,86,11,0,"1,650554414","0,0642102883","-0,573907969","0,1628208543","-0,091205737","-2,213018778","0,0318578227","0,704518044"
1,0,250432,61760,16992,451132,0,0,0,0,7122,896,1,88,11,0,"1,4008280412","-0,046276423","-0,258467761","0,2369144078","-0,937316077","-2,43440351","0,2665912562","0,5241575809"
1,0,250432,61760,16992,451136,0,0,0,160,7031,891,0,90,10,0,"1,4969751779","0,7715359097","0,6362559808","-0,544719363","-1,2339348","-2,522643928","0,5190493862","0,5417318142"
2,0,250432,61760,16992,451136,0,0,0,0,6658,845,4,86,11,0,"1,4905885531","0,0950010751","-0,604684732","0,163413446","-0,055884162","-2,20411265","0,0156500268","0,7019655446"
4,1,250432,61760,17000,451140,0,0,0,20,7157,901,1,88,9,1,"1,8877983586","1,0012175849","-1,015730815","1,0523080115","0,0337747509","-1,915633065","3,4072081153","-0,252725592"
1,0,250432,61760,17000,451140,0,0,0,0,6651,868,5,85,10,0,"1,4771196856","0,1123322082","-0,645884251","0,1393534679","-0,067996807","-2,190213881","-0,016174907","0,797283766"
1,0,250432,61760,17000,451140,0,0,0,0,7259,899,3,82,15,0,"1,3684826083","0,0797120351","-0,47699555","0,1646315425","-0,472798597","-2,299084786","0,1055304668","0,6298893269"
0,0,250432,61760,17000,451144,0,0,0,0,6952,865,3,82,15,0,"1,1361442089","0,0722492213","-0,459518452","0,1561568817","-0,660165752","-2,337722995","0,1328565779","0,6525463009"
3,0,250432,61760,17000,451144,0,0,0,0,7157,924,1,90,9,0,"1,7491631584","-0,026422289","-0,302668857","0,2732130823","-0,54222652","-2,357648013","0,2079709097","0,4903177615"
2,0,250432,61760,17008,451148,0,0,0,16,7343,870,4,88,9,0,"1,7200749018","0,0783705514","-0,454881766","0,1031408575","-0,120668412","-2,22941929","0,0800309381","0,7298250295"
2,0,250432,61760,17008,451148,0,0,0,0,7396,830,4,85,11,0,"1,5463597985","0,0110130087","-0,566830449","0,1691575901","-0,073077982","-2,212325529","0,0486554831","0,7076177718"
3,0,250432,61536,17008,451152,0,0,0,0,6980,769,3,85,13,0,"1,3670031735","0,0429492536","-0,585227609","0,1760807737","-0,027550214","-2,240964673","0,0600035091","0,6137621206"
4,0,250432,61536,17008,451152,0,0,0,0,7751,875,4,85,11,0,"1,9226755549","0,0504129485","-0,644612472","0,1687336962","0,3086752614","-2,157784417","-0,014674101","0,6724524216"
