elapsed,label,bytes,sentBytes,Latency,Cluster
166,HTTP Request 28,900441,167,16,2
173,HTTP Request 25,1348072,167,11,2
348,HTTP Request 26,3013662,167,7,4
490,HTTP Request 30,7437349,167,7,5
251,HTTP Request 26,3013662,167,12,2
181,HTTP Request 25,1348072,167,10,2
145,HTTP Request 22,1317099,167,10,2
305,HTTP Request 26,3013662,167,7,4
282,HTTP Request 26,3013662,167,9,2
92,HTTP Request 26,3013662,167,7,4
447,HTTP Request 30,7437349,167,9,5
137,HTTP Request 27,3819263,167,6,4
102,HTTP Request 23,1312272,167,21,2
122,HTTP Request 29,2437886,167,11,2
28,HTTP Request 21,245478,166,6,3
82,HTTP Request 22,1317099,167,10,2
74,HTTP Request 23,1312272,167,5,4
200,HTTP Request 26,3013662,167,5,4
504,HTTP Request 24,10987916,167,2,5
49,HTTP Request 21,245478,166,20,2
154,HTTP Request 23,1312272,167,11,2
157,HTTP Request 23,1312272,167,9,4
50,HTTP Request 21,245478,166,11,3
269,HTTP Request 29,2437886,167,11,2
394,HTTP Request 27,3819263,167,6,4
458,HTTP Request 27,3819263,167,6,4
661,HTTP Request 24,10987916,167,6,5
143,HTTP Request 23,1312272,167,18,2
24,HTTP Request 21,245478,166,14,3
524,HTTP Request 30,7437349,167,12,5
517,HTTP Request 30,7437349,167,11,5
154,HTTP Request 29,2437886,167,9,4
132,HTTP Request 22,1317099,167,8,4
684,HTTP Request 30,7437349,167,10,5
131,HTTP Request 25,1348072,167,9,4
289,HTTP Request 27,3819263,167,7,4
221,HTTP Request 27,3819263,167,12,2
84,HTTP Request 28,900441,167,6,4
127,HTTP Request 25,1348072,167,10,2
101,HTTP Request 28,900441,167,8,4
40,HTTP Request 21,245478,166,10,3
150,HTTP Request 25,1348072,167,14,2
149,HTTP Request 23,1312272,167,11,2
159,HTTP Request 22,1317099,167,13,2
71,HTTP Request 28,900441,167,11,2
367,HTTP Request 27,3819263,167,16,2
570,HTTP Request 30,7437349,167,16,5
90,HTTP Request 23,1312272,167,14,2
735,HTTP Request 24,10987916,167,9,5
100,HTTP Request 22,1317099,167,16,2
811,HTTP Request 24,10987916,167,16,5
122,HTTP Request 22,1317099,167,9,4
242,HTTP Request 26,3013662,167,21,2
218,HTTP Request 29,2437886,167,10,2
140,HTTP Request 23,1312272,167,8,4
133,HTTP Request 23,1312272,167,12,2
825,HTTP Request 24,10987916,167,8,5
227,HTTP Request 27,3819263,167,19,2
259,HTTP Request 27,3819263,167,13,2
112,HTTP Request 25,1348072,167,12,2
147,HTTP Request 29,2437886,167,8,4
145,HTTP Request 22,1317099,167,35,1
283,HTTP Request 27,3819263,167,6,4
79,HTTP Request 28,900441,167,9,4
560,HTTP Request 30,7437349,167,12,5
425,HTTP Request 30,7437349,167,13,5
30,HTTP Request 21,245478,166,16,2
135,HTTP Request 28,900441,167,19,2
297,HTTP Request 26,3013662,167,10,2
626,HTTP Request 30,7437349,167,12,5
272,HTTP Request 25,1348072,167,11,2
273,HTTP Request 22,1317099,167,14,2
794,HTTP Request 30,7437349,167,11,5
332,HTTP Request 29,2437886,167,10,2
171,HTTP Request 28,900441,167,14,2
249,HTTP Request 23,1312272,167,14,2
396,HTTP Request 26,3013662,167,12,2
173,HTTP Request 23,1312272,167,13,2
278,HTTP Request 29,2437886,167,15,2
1052,HTTP Request 24,10987916,167,14,5
1027,HTTP Request 24,10987916,167,17,5
562,HTTP Request 29,2437886,167,11,2
366,HTTP Request 29,2437886,167,10,2
233,HTTP Request 29,2437886,167,11,2
97,HTTP Request 23,1312272,167,11,2
133,HTTP Request 23,1312272,167,11,2
428,HTTP Request 27,3819263,167,11,2
173,HTTP Request 26,3013662,167,12,2
264,HTTP Request 26,3013662,167,13,2
940,HTTP Request 30,7437349,167,48,6
176,HTTP Request 28,900441,167,13,2
167,HTTP Request 22,1317099,167,13,2
417,HTTP Request 26,3013662,167,7,4
344,HTTP Request 27,3819263,167,21,2
1249,HTTP Request 24,10987916,167,15,5
376,HTTP Request 23,1312272,167,7,4
107,HTTP Request 28,900441,167,10,2
30,HTTP Request 21,245478,166,17,2
238,HTTP Request 22,1317099,167,11,2
169,HTTP Request 25,1348072,167,9,4
322,HTTP Request 29,2437886,167,11,2
462,HTTP Request 26,3013662,167,20,2
307,HTTP Request 29,2437886,167,15,2
722,HTTP Request 30,7437349,167,15,5
90,HTTP Request 28,900441,167,13,2
116,HTTP Request 22,1317099,167,8,4
1339,HTTP Request 24,10987916,167,12,5
43,HTTP Request 21,245478,166,8,3
97,HTTP Request 23,1312272,167,18,2
99,HTTP Request 22,1317099,167,12,2
288,HTTP Request 27,3819263,167,17,2
48,HTTP Request 21,245478,166,13,3
505,HTTP Request 24,10987916,167,11,5
112,HTTP Request 28,900441,167,20,2
275,HTTP Request 26,3013662,167,10,2
199,HTTP Request 29,2437886,167,28,1
42,HTTP Request 21,245478,166,5,3
766,HTTP Request 24,10987916,167,13,5
117,HTTP Request 25,1348072,167,14,2
211,HTTP Request 26,3013662,167,11,2
127,HTTP Request 26,3013662,167,11,2
60,HTTP Request 25,1348072,167,8,4
